sira,gazete,baslik,url,haber_metni
3652,Anadolu Ajansı,AK Parti yarın kampa giriyor,https://www.aa.com.tr/tr/guncel/ak-parti-yarin-kampa-giriyor/1600712,AK Parti 29. İstişare ve Değerlendirme Toplantısı 4 Ekim Cuma günü başlıyor
3653,Karar,İstanbul'daki 5.8'lik deprem sonrası vatandaşlar deprem testine akın etti,https://www.karar.com/guncel-haberler/istanbuldaki-58lik-deprem-sonrasi-vatandaslar-deprem-testine-akin-etti-1341637,İstanbul'da geçen hafta yaşanan 5.8 büyüklüğünde depremin ardından binalarında hasar oluşan vatandaşlar deprem riski testi yapan firmalarda yoğunluk oluşturdu.
3654,CNN Türk,Tokat'ta tek katlı evin çatısı yandı,https://www.cnnturk.com/yerel-haberler/tokat/erbaa/tokatta-tek-katli-evin-catisi-yandi-1061560,Tokat'ta tek katlı evin çatısı yandı
3655,HaberTürk,Türk Telekom 1 milyar liralık tahvil satacak,https://www.haberturk.com/turk-telekom-1-milyar-liralik-borclanma-araci-ihrac-edecek-2527552-teknoloji,"KAP2ta yer alan açıklamaya göre 1 milyar liralık borçlanma aracı ihrac edecek Türk Telekom, gerekli izinler için SPK'ya başvurdu"
3656,BirGün,Unutulmaya çocukça direnmek,https://www.birgun.net/haber/unutulmaya-cocukca-direnmek-271073,"Işıl Şahin ve İnci Özdemir'in birlikte yazdığı, illüstratör Pelin Turgut'un desenleriyle renklenen Dedem Bir Japon Balığı, alzheimer hastası bir dedeyle"
3657,Karar,"ABD, nükleer kapasiteli balistik füze testi yaptı",https://www.karar.com/dunya-haberleri/abd-nukleer-kapasiteli-balistik-fuze-testi-yapti-1341638,"ABD, kıtalararası balistik füze olan Minuteman-III'ü test etti"
3658,Cumhuriyet,Didem Arslan'ın ardından Fatih Portakal da çekildi,http://www.cumhuriyet.com.tr/haber/turkiye/1609890/Didem_Arslan_in_ardindan_Fatih_Portakal_da_cekildi.html,"Türkiye - Habertürk TV'de yayınlanan Türkiye'nin Nabzı adlı programının sunucusu Didem Arslan Yılmaz, Altın Kelebek Ödül Töreni için ""tiyatro"" ifadesinin ardınd"
3659,CNN Türk,Boris'in tavizleri işe yaramadı! AB geri adım atmıyor,https://www.cnnturk.com/dunya/borisin-tavizleri-ise-yaramadi-ab-geri-adim-atmiyor,"Avrupa Birliği (AB) Konseyi Başkanı Donald Tusk, İrlanda'ya destek mesajı verirken, İngiltere'nin AB'ye sunduğu yeni anlaşma teklifine ilişkin, ""Halen ikna olmadık."" değerlendirmesinde bulundu."
3660,HaberTürk,"İzmir’de 59, Çanakkale'de 215 kaçak göçmen yakalandı",https://www.haberturk.com/izmirde-59-canakkale-de-215-kacak-gocmen-yakalandi-2527830,"Çanakkale'nin Ayvacık ilçesinde, lastik botla Yunanistan'ın Midilli Adası'na geçmek isteyen 215 kaçak göçmen, Sahil Güvenlik ekiplerince yakalandı. İzmir'in Foça ve Çeşme ilçesinde ise Sahil Güvenlik ekiplerince 59 kaçak göçmen yakalandı"
3661,Hürriyet,UCUZCU BERBER MÜCADELESİ,http://www.hurriyet.com.tr/yerel-haberler/ankara/ucuzcu-berber-mucadelesi-41342842,"Ankara'da 'ucuzcu berberler' diye tabir ettikleri berberlerin işini düzgün yapan berber esnafına büyük zarar verdiğini belirten Ankara Berberler Esnaf ve Sanatkarlar Odası Başkanı Sezayi Kara, bu işletmelere yönelik zabıta ekipleriyle beraber sıkı bir denetim yaptıklarını vurguladı. Denetimler sonucunda 70 olan..."
3662,Yeni Akit,Bakanlığın uyarısına rağmen çığ gibi yay,https://www.yeniakit.com.tr/haber/bakanligin-uyarisina-ragmen-cig-gibi-yay-939728.html,"Saç çıkardığı iddiasıyla farklı markalar altında piyasaya sürülen 'mavi su'ya ilişkin geçtiğimiz aylarda Sağlık Bakanlığı'nın uyarıda bulunmasına rağmen, ambalajı..."
3663,Yeni Akit,Bakanlığın uyarısına rağmen çığ gibi yayılıyor,https://www.yeniakit.com.tr/haber/bakanligin-uyarisina-ragmen-cig-gibi-yayiliyor-939728.html,"Saç çıkardığı iddiasıyla farklı markalar altında piyasaya sürülen 'mavi su'ya ilişkin geçtiğimiz aylarda Sağlık Bakanlığı'nın uyarıda bulunmasına rağmen, ambalajı..."
3664,CNN Türk,NATO'dan Rusya'ya çağrı,https://www.cnnturk.com/dunya/natodan-rusyaya-cagri,"NATO Genel Sekreter Yardımcısı Rose Gottemoeller, Rusya'yı, işgali altındaki Gürcistan topraklarından askerlerini çekmeye ve Gürcistan'ın toprak bütünlüğü ve egemenliğine saygı göstermeye davet etti."
3665,Diken,"Sultanbeyli’deki orman yangını, kısa sürede söndürüldü",http://www.diken.com.tr/sultanbeylideki-orman-yangini-kisa-surede-sonduruldu/,"İstanbul'un Sultanbeyli ilçesinde, ormanlık alanda henüz belirlenemeyen nedenle yangın çıktı. Yangın, orman itfaiyesinin müdahalesi sonucu söndürüldü."
3666,Karar,"Kazakistan'dan Türk iş adamlarına çağrı: Gelin, yurt yapın",https://www.karar.com/ekonomi-haberleri/kazakistandan-turk-is-adamlarina-cagri-gelin-yurt-yapin-1341642,Kazakistan'ın Ankara Büyükelçiliği tarafından yapılan açıklamayla Türk iş adamlarına Kazakistan'da yurt inşası projelerinde yer almaları çağrısında bulunuldu.
3667,Sözcü,Mahatma Gandi’nin anıtta saklanan külleri çalındı,https://www.sozcu.com.tr/2019/dunya/mahatma-gandinin-anitta-saklanan-kulleri-calindi-5369352/,Mahatma Gandi'nin anıtta saklanan külleri çalındı Hindistan Bağımsızlık Hareketi'nin siyasi lideri Mahatma Gandi'nin doğumunun 150. yıl dönümünde bir anıtta tutulan küllerinin bir bölümünün çalındığı bildirildi.
3668,Sputnik,Hindistan'da şiddetli yağışların etkisi sürüyor: Ölü sayısı 55'e çıktı,https://tr.sputniknews.com/asya/201910031040311199-hindistanda-siddetli-yagislarin-etkisi-suruyor-olu-sayisi-55e-cikti/,Hindistan'ın Bihar eyaletinde etkili olan şiddetli yağışların yol açtığı sel ve kazalarda ölenlerin sayısı 55'e çıktı.
3669,BirGün,Sanatta mükemmellik ve nitelik üzerine,https://www.birgun.net/haber/sanatta-mukemmellik-ve-nitelik-uzerine-271075,"Patrick Doorly, bir taraftan felsefi bir taraftan da tarihsel bağlamdan yola çıkarak sanatın ele alınma biçimini, Platon'dan Marcel Duchamp'a kadar uzanan bir"
3670,Anadolu Ajansı,Girişimcilere alternatif finansman imkanı,https://www.aa.com.tr/tr/guncel/girisimcilere-alternatif-finansman-imkani/1600717,Sermaye Piyasası Kurulu tarafından hazırlanan ve paya dayalı kitle fonlamasına ilişkin usul ve esasları düzenleyen tebliğ bugünkü Resmi Gazete'de yayımlanarak yürürlüğe girdi
3671,BirGün,YEP'e göre memur ve emekliye Ocak zammı ne kadar olur?,https://www.birgun.net/haber/yep-e-gore-memur-ve-emekliye-ocak-zammi-ne-kadar-olur-271074,"Hazine ve Maliye Bakanı Berat Albayrak'ın açıkladığı Yeni Ekonomi Programı, temmuz ayından bu yana yüzde 32 zam gelen elektrik ve doğalgaz faturasını nasıl"
3672,BirGün,Berlinlilerden spekülasyonculara kırmızı kart,https://www.birgun.net/haber/berlinlilerden-spekulasyonculara-kirmizi-kart-271219,BİRGÜN BERLİNBerlin'de binlerce kişi kira artışları ve konut alanında yapılan spekülasyonlara kırmızı kart gösterdi. Yaklaşık elli grup ve inisiyatiften oluşan
3673,Anadolu Ajansı,ABD'nin ham petrol stokları yükseldi,https://www.aa.com.tr/tr/guncel/abdnin-ham-petrol-stoklari-yukseldi/1600719,"ABD'nin ticari ham petrol stokları geçen hafta bir önceki haftaya kıyasla 3,1 milyon varil artış gösterdi"
3674,Karar,Ayder Yaylası'na akın: 8 ayda yarım milyon turist ziyaret etti,https://www.karar.com/ekonomi-haberleri/ayder-yaylasina-akin-8-ayda-yarim-milyon-turist-ziyaret-etti-1341650,"Doğu Karadeniz'in incisi olarak bilinen, Rize'nin dünyaca ünlü turizm merkezi Ayder Yaylası 2019 yılının ilk 8 ayında toplamda 574 bin 550 kişiyi ağırladı."
3675,Hürriyet,OTOBÜS KAZASI YARIM KALAN HİKÂYELER BIRAKTI,http://www.hurriyet.com.tr/yerel-haberler/ankara/otobus-kazasi-yarim-kalan-hikayeler-birakti-41342852,"Kazada hayatını kaybeden 21 yaşındaki Muzaffer Emre Sarıyıldız'ın dedeleri Muzaffer Sarıyıldız (70) ve Ali İhsan Demirtaş (67) torunlarını otobüs kazasında kaybetmenin acısını yaşıyor. Adaletin en kısa sürede yerine gelmesini isteyen dede Muzaffer Sarıyıldız, ""Emre, Kırşehir Ahi Evran Üniversitesi son sınıf..."
3676,CNN Türk,Claudio Marchisio futbolu bıraktı,https://www.cnnturk.com/spor/futbol/claudio-marchisio-futbolu-birakti,"İtalyan milli futbolcu Claudio Marchisio, aktif kariyerine son verdiğini açıkladı."
3677,Yeni Akit,Meteoroloji'nin ardından bir 'şiddetli yağış' uyarısı da İstanbul Valiliği'nden!,https://www.yeniakit.com.tr/haber/meteorolojinin-ardindan-bir-siddetli-yagis-uyarisi-da-istanbul-valiliginden-940013.html,İstanbul'un yarın akşamdan itibaren serin ve yağışlı havanın etkisine gireceği bildirdi. Öte yandan öğle saatlerinde Meteoroloji de uyarmıştı.
3678,Hürriyet,MİLYONLUK FUHUŞ ÇETESİ ÇÖKERTİLDİ,http://www.hurriyet.com.tr/yerel-haberler/ankara/milyonluk-fuhus-cetesi-cokertildi-41342858,"Polis ekiplerinin teknik ve fiziki takibi sonucu, Ankara ve Muğla'da eş zamanlı operasyon düzenlendi. Operasyonda, çete lideri Ayten A. ile birlikte Türkan K., M.Y., F.B., Ş.P., S.M., B.C.K., N.S. ve G.G. gözaltına alındı. Emniyetteki ifadelerinin ardından, adliyeye sevk edilen şüphelilerden Ayten A. ve Türkan K...."
3679,Sözcü,Ataşehir meyve sebze halinde silah sesleri,https://www.sozcu.com.tr/2019/gundem/atasehir-meyve-sebze-halinde-silah-sesleri-5369361/,"Ataşehir meyve sebze halinde silah sesleri Ataşehir'de bulunan meyve sebze halinde alkollü olduğu ileri sürülen bir kişi, pompalı tüfekle etrafa ateş açtı. Olayda 2 kişi yaralanırken, şüpheli polis tarafından gözaltına alındı. Şüpheli gözaltına alındıktan sonra hal esnafı tarafından linç edilmek istendi. Polis havaya ateş ederek kalabalığı dağıttı. O anlar bir vatandaşın cep telefonu kamerasına yansıdı."
3680,T24,Didem Arslan Yılmaz'ın Altın Kelebek boykotunun ardından Fatih Portakal ve İrfan Değirmenci de çekildi,"https://t24.com.tr/haber/didem-arslan-yilmaz-in-altin-kelebek-boykotunun-ardindan-fatih-portakal-ve-irfan-degirmenci-de-cekildi,842107","""Oyununuzun bir parçası olmak istemiyorum"""
