227	2012	4	47.85
1335	1260	3	41.49
1035	104	5	29.18
192	842	3	27.21
399	102	4	8.35
102	449	5	13.46
151	5583	4	56.51
218	105	7	24.35
254	467	3	26.57
134	604	10	100.09
12	138	13	3.88
1383	12	3	5.41
168	161	67	846.42
1196	1497	3	41.99
118	114	4	7.96
168	104	6	14.75
104	512	7	36.64
421	1840	5	69.85
102	946	3	8.98
7719	14	3	16.76
9	117	8	20.4
8339	14	3	16.76
130	3829	5	67.44
333	296	45	745.57
103	121	96	659.95
1897	14	10	55.87
102	691	4	12.08
203	14	84	469.96
672	124	7	62.4
407	101	4	4.49
637	772	3	34.64
12	6151	3	18.52
105	1058	3	14.56
288	104	5	17.25
1320	1947	3	44.28
104	143	6	11.92
1019	575	3	35.54
5621	14	4	22.35
282	192	3	21.08
101	6933	3	21.3
3750	101	4	23.45
4019	14	5	27.93
12	388	7	8.91
1456	367	9	132.73
1399	171	5	55.12
7384	14	3	16.76
349	108	4	16.01
135	1396	5	50.94
6037	104	3	25.68
1216	102	4	16.36
181	17	3	10.56
1189	979	3	39.81
249	1636	3	33.34
2055	880	3	42.68
176	145	3	14.56
233	107	4	12.78
102	266	4	5.86
3578	760	3	44.92
122	106	14	43.44
495	14	27	117.21
738	14	18	74.35
453	5084	3	45.89
4326	14	5	27.93
3577	14	4	14.96
344	14	29	101.8
150	123	4	16.56
260	102	5	9.05
119	304	8	58.31
911	1644	12	223.99
102	585	4	10.92
101	1314	3	7.39
12	719	8	20.33
648	1323	4	53.35
101	492	4	5.51
183	689	3	25.72
819	2138	7	116.85
7324	14	3	16.76
101	507	5	8.79
105	3008	3	20.71
566	987	3	35.54
171	101	12	14.76
2537	187	5	63.22
841	125	3	22.45
180	304	12	120.63
102	369	5	11.82
326	329	9	99.9
102	471	7	24.33
4025	133	3	34.01
8	5	6	25.7
1396	14	13	72.64
12	2080	3	7.62
6004	14	4	22.35
804	14	18	80.23
107	1303	3	17.58
8133	14	3	16.76
1243	101	3	6.98
167	102	6	6.38
798	3278	4	63.93
207	155	3	16.87
7042	14	3	16.76
1272	101	3	7.39
12	1063	3	3.98
1841	1685	6	105.15
225	392	4	35.01
1808	103	3	17.24
2348	14	7	33.21
105	1023	3	14.19
273	186	7	60.67
12	550	6	9.25
566	221	3	26.43
145	234	4	25.39
21	2	7	16.78
2428	4302	3	53.73
542	4448	3	44.6
154	540	3	22.84
1642	167	7	84.86
499	1805	3	37.86
5534	14	4	22.35
535	357	4	41.6
1720	345	3	35.84
12	163	15	11.64
104	346	3	8.43
506	103	4	15.81
451	140	6	50.92
858	105	4	20.06
379	643	6	70.94
101	2184	3	10.19
12	1131	4	7.82
2552	12	5	20.56
820	102	4	13.11
110	114	4	4.09
213	359	4	33.71
3831	452	4	62.31
5489	14	4	22.35
6086	2660	3	56.99
714	101	6	16.65
1295	14	8	26.33
114	138	7	28.25
2	8145	3	33.89
4524	14	4	17.47
334	14	40	178.01
105	1024	3	14.19
3053	14	4	13.17
1879	14	7	27.27
956	14	18	92.88
109	3942	4	38.61
145	112	3	6.9
145	181	4	22.24
1543	12	3	5.86
685	102	7	29.4
542	1695	5	70.75
736	141	15	177.68
1778	101	3	8.87
146	1594	4	40.61
4792	14	4	22.35
3380	14	3	8.82
179	523	4	34.44
2567	101	3	11
124	170	4	18.23
699	12	4	4.67
2902	761	3	43.67
195	145	4	23.07
368	1294	3	34.6
5103	14	4	22.35
1352	101	5	17.77
12	1953	3	6.95
111	493	4	22
3404	14	6	33.52
225	1407	3	31.82
2847	14	7	39.11
107	106	16	20.8
12	622	5	7.04
5971	169	3	38.86
12	725	4	4.93
165	2339	3	32.41
1776	7320	3	58.15
112	134	3	6.04
379	436	3	28.48
1306	12	6	18.66
257	12	13	21.54
112	384	8	53.56
117	306	4	21.95
3587	14	5	22.65
5001	14	4	22.35
5401	14	4	22.35
2808	7279	3	61.48
142	132	3	11.36
111	160	4	11.89
114	644	5	35.3
102	2901	4	23.95
102	314	6	14.8
305	102	7	18.79
7166	14	3	16.76
101	5853	3	16.86
1095	101	5	15.6
2734	6176	3	61.48
1884	102	3	13.06
219	83	6	48.16
12	1097	5	11.39
225	424	3	24.9
339	102	3	4.01
199	12	11	9.32
4658	12	4	24.69
7563	239	3	46.54
188	102	8	14.35
112	120	5	11.43
3503	14	3	8.82
101	4901	3	16.86
5130	14	4	22.35
166	155	4	22.22
462	869	4	46.87
195	155	13	110.6
1056	102	3	9.65
157	102	6	5.46
149	863	3	24.9
1108	13	4	35.59
1643	596	3	38.48
3793	12	4	19.78
463	699	3	32.06
102	897	4	13.9
3971	14	3	10.28
2114	14	6	22.44
1203	14	12	52.42
754	2787	3	43.67
7883	14	3	16.76
469	129	4	29.04
106	411	3	10.57
2234	3319	4	72.42
197	182	5	35.33
273	489	5	50.86
12	135	15	5.71
479	102	3	5.58
637	1788	5	72.69
155	122	3	10.97
6757	122	3	39.1
212	112	3	10.16
12	2673	3	9.33
16	57	26	126.12
7639	14	3	16.76
12	588	7	13.68
507	101	11	36.64
6176	103	3	30.03
426	202	3	24.21
3975	104	3	23.46
4107	14	5	27.93
102	690	4	12.08
102	774	6	24.25
12	1328	3	5
784	102	5	18.25
103	472	3	9.98
1227	112	4	29.76
248	450	3	26.2
12	506	5	5.18
463	3525	4	59.67
200	2929	6	84.65
920	14	14	54.55
7875	14	3	16.76
4034	14	3	10.28
6863	14	3	16.76
324	108	5	21.62
1625	12	5	15.22
116	143	4	13.69
2435	12	3	8.4
102	1099	3	9.65
107	2113	3	20.63
123	7069	3	39.23
2296	14	7	29.83
190	238	3	19.83
618	14	9	18.19
462	2277	3	38.94
569	634	9	123.9
8562	14	3	16.76
